Red,Cabernet Sauvignon,Hundred Acre,"{'acidity': 2.9890227, 'fizziness': None, 'intensity': 4.7203836, 'sweetness': 2.0417807, 'tannin': 3.1416209, 'user_structure_count': 94, 'calculated_structure_count': 36}"
Red,Cabernet Sauvignon,Lokoya,"{'acidity': 3.378096, 'fizziness': None, 'intensity': 4.761798, 'sweetness': 1.6429913, 'tannin': 3.522107, 'user_structure_count': 162, 'calculated_structure_count': 176}"
Red,Cabernet Sauvignon,Hundred Acre,"{'acidity': 2.9890227, 'fizziness': None, 'intensity': 4.7203836, 'sweetness': 2.0417807, 'tannin': 3.1416209, 'user_structure_count': 94, 'calculated_structure_count': 36}"
Red,Syrah,Sine Qua Non,"{'acidity': 3.1875527, 'fizziness': None, 'intensity': 4.2432065, 'sweetness': 2.0249789, 'tannin': 3.704768, 'user_structure_count': 3, 'calculated_structure_count': 14}"
Red,Cabernet Sauvignon,Bond,"{'acidity': 3.538687, 'fizziness': None, 'intensity': 4.7871013, 'sweetness': 1.8361264, 'tannin': 3.6100156, 'user_structure_count': 62, 'calculated_structure_count': 156}"
Red,Red Blend,Pine Ridge,"{'acidity': 3.7234766, 'fizziness': None, 'intensity': 4.8287106, 'sweetness': 1.4837697, 'tannin': 2.945039, 'user_structure_count': 15, 'calculated_structure_count': 39}"
Red,Cabernet Sauvignon,Scarecrow,"{'acidity': 3.309564, 'fizziness': None, 'intensity': 4.6736736, 'sweetness': 1.7720038, 'tannin': 3.4131677, 'user_structure_count': 260, 'calculated_structure_count': 212}"
Red,Cabernet Sauvignon,Hundred Acre,"{'acidity': 3.2868776, 'fizziness': None, 'intensity': 4.765307, 'sweetness': 1.7830747, 'tannin': 3.3118129, 'user_structure_count': 137, 'calculated_structure_count': 138}"
Red,Cabernet Sauvignon,Scarecrow,"{'acidity': 3.309564, 'fizziness': None, 'intensity': 4.6736736, 'sweetness': 1.7720038, 'tannin': 3.4131677, 'user_structure_count': 260, 'calculated_structure_count': 212}"
Red,Barolo,Giacomo Conterno,"{'acidity': 4.53366, 'fizziness': None, 'intensity': 3.7607744, 'sweetness': 1.80748, 'tannin': 4.3782687, 'user_structure_count': 334, 'calculated_structure_count': 207}"
Red,Cabernet Sauvignon,PlumpJack,"{'acidity': 3.2986403, 'fizziness': None, 'intensity': 4.7554383, 'sweetness': 1.6558102, 'tannin': 3.3528354, 'user_structure_count': 74, 'calculated_structure_count': 82}"
Red,Cabernet Sauvignon,Pulido-Walker,"{'acidity': 3.431811, 'fizziness': None, 'intensity': 4.7044215, 'sweetness': 1.7313488, 'tannin': 3.4958863, 'user_structure_count': 39, 'calculated_structure_count': 40}"
Red,Cabernet Sauvignon,Hundred Acre,"{'acidity': 2.9890227, 'fizziness': None, 'intensity': 4.7203836, 'sweetness': 2.0417807, 'tannin': 3.1416209, 'user_structure_count': 94, 'calculated_structure_count': 36}"
Red,Red Blend,Realm,"{'acidity': 3.7674894, 'fizziness': None, 'intensity': 4.7129493, 'sweetness': 2.1661088, 'tannin': 3.669247, 'user_structure_count': 17, 'calculated_structure_count': 24}"
Red,Cabernet Sauvignon,Odette,"{'acidity': 3.5057466, 'fizziness': None, 'intensity': 4.894375, 'sweetness': 1.5260764, 'tannin': 3.4724653, 'user_structure_count': 26, 'calculated_structure_count': 21}"
Red,Pomerol,Château Trotanoy,"{'acidity': 3.406104, 'fizziness': None, 'intensity': 4.149738, 'sweetness': 1.6962962, 'tannin': 3.5572786, 'user_structure_count': 196, 'calculated_structure_count': 518}"
Red,Cabernet Sauvignon,Seven Stones,"{'acidity': 3.229865, 'fizziness': None, 'intensity': 4.7516184, 'sweetness': 1.5041367, 'tannin': 3.3757644, 'user_structure_count': 43, 'calculated_structure_count': 49}"
Sparkling,Champagne,Jacques Selosse,"{'acidity': 4.5398, 'fizziness': 4.447158, 'intensity': 4.261893, 'sweetness': None, 'tannin': None, 'user_structure_count': 162, 'calculated_structure_count': 49}"
Fortified,Colheita Port,Krohn,
Red,Cabernet Sauvignon,Pulido-Walker,"{'acidity': 3.431811, 'fizziness': None, 'intensity': 4.7044215, 'sweetness': 1.7313488, 'tannin': 3.4958863, 'user_structure_count': 39, 'calculated_structure_count': 40}"
Red,Cabernet Sauvignon,Schrader,"{'acidity': 3.205814, 'fizziness': None, 'intensity': 4.71399, 'sweetness': 2.3741617, 'tannin': 3.6441739, 'user_structure_count': 36, 'calculated_structure_count': 27}"
Red,Cabernet Sauvignon,Schrader,"{'acidity': 3.325583, 'fizziness': None, 'intensity': 4.4985976, 'sweetness': 1.8448133, 'tannin': 3.203108, 'user_structure_count': 97, 'calculated_structure_count': 65}"
Red,Cabernet Sauvignon,Schrader,"{'acidity': 3.325583, 'fizziness': None, 'intensity': 4.4985976, 'sweetness': 1.8448133, 'tannin': 3.203108, 'user_structure_count': 97, 'calculated_structure_count': 65}"
Dessert,Sauternes,Château Doisy-Daëne,"{'acidity': 4.3958406, 'fizziness': None, 'intensity': 4.879103, 'sweetness': 4.979738, 'tannin': None, 'user_structure_count': 17, 'calculated_structure_count': 36}"
